,occ_code,occ_title,tot_emp_2019,h_mean_2019,a_mean_2019,tot_emp_2018,h_mean_2018,a_mean_2018,tot_emp_2017,h_mean_2017,a_mean_2017,tot_emp_2016,h_mean_2016,a_mean_2016,tot_emp_2015,h_mean_2015,a_mean_2015,tot_emp_2014,h_mean_2014,a_mean_2014,tot_emp_2013,h_mean_2013,a_mean_2013,tot_emp_2012,h_mean_2012,a_mean_2012,tot_emp_2011,h_mean_2011,a_mean_2011,tot_emp_2010,h_mean_2010,a_mean_2010,tot_emp_2009,h_mean_2009,a_mean_2009
250,19-3011,Economists,19000,56.07,116630,18650.0,55.78,116020,19550.0,54.16,112650,19380.0,54.26,112860,19090.0,52.51,109230,18680.0,50.62,105290,17230.0,48.78,101450,15760.0,47.83,99480,14270.0,48.2,100270,13250.0,47.77,99350,13160.0,         46.31,         96320
251,19-3020,Survey Researchers,9930,31.61,65760,11690.0,30.4,63240,11270.0,29.18,60700,11930.0,28.82,59950,13650.0,28.53,59340,15410.0,26.31,54730,17370.0,25.58,53210,17370.0,24.47,50890,,,,,,,,,
252,19-3022,Survey Researchers,9930,31.61,65760,11690.0,30.4,63240,11270.0,29.18,60700,11930.0,28.82,59950,13650.0,28.53,59340,15410.0,26.31,54730,17370.0,25.58,53210,17370.0,24.47,50890,17060.0,22.95,47740,17850.0,20.89,43450,,,
253,19-3030,Psychologists,128130,42.68,88770,124750.0,41.63,86600,121870.0,39.79,82770,122310.0,38.77,80640,118990.0,37.47,77950,117820.0,36.44,75790,116390.0,35.73,74310,114970.0,35.45,73740,,,,,,,,,
254,19-3031,"Clinical, Counseling, and School Psychologists",113270,42.04,87450,110490.0,41.03,85340,108060.0,39.1,81330,107980.0,37.83,78690,105600.0,36.56,76040,104730.0,35.59,74030,104480.0,34.96,72710,103590.0,34.72,72220,100850.0,35.14,73090,100700.0,34.87,72540,,,
255,19-3032,Industrial-Organizational Psychologists,630,53.44,111150,780.0,52.42,109030,920.0,49.29,102530,1020.0,50.27,104570,990.0,44.38,92320,1110.0,43.3,90070,1040.0,42.29,87960,1030.0,47.5,98800,1230.0,59.69,124160,1420.0,54.82,114040,,,
256,19-3039,"Psychologists, All Other",14220,47.23,98230,13480.0,45.97,95610,12880.0,44.92,93440,13310.0,45.51,94650,12400.0,44.73,93050,11980.0,43.18,89810,10870.0,42.5,88400,10350.0,41.53,86380,10580.0,41.27,85830,10690.0,41.59,86510,,,
257,19-3040,Sociologists,2630,43.55,90590,2710.0,43.41,90290,2770.0,41.41,86130,2870.0,41.75,86840,2620.0,39.47,82100,2240.0,37.89,78810,2690.0,37.56,78120,2340.0,38.86,80820,,,,,,,,,
258,19-3041,Sociologists,2630,43.55,90590,2710.0,43.41,90290,2770.0,41.41,86130,2870.0,41.75,86840,2620.0,39.47,82100,2240.0,37.89,78810,2690.0,37.56,78120,2340.0,38.86,80820,2830.0,38.2,79460,3710.0,38.53,80130,4430.0,         36.63,         76190
259,19-3050,Urban and Regional Planners,38560,37.38,77750,37840.0,36.65,76240,35310.0,35.75,74350,34810.0,35.12,73060,35480.0,33.98,70680,35820.0,33.18,69010,35940.0,32.66,67920,37620.0,32.67,67950,,,,,,,,,
260,19-3051,Urban and Regional Planners,38560,37.38,77750,37840.0,36.65,76240,35310.0,35.75,74350,34810.0,35.12,73060,35480.0,33.98,70680,35820.0,33.18,69010,35940.0,32.66,67920,37620.0,32.67,67950,38320.0,32.38,67350,38830.0,31.74,66020,,,
261,19-3090,Miscellaneous Social Scientists and Related Workers,50870,42.06,87480,51640.0,41.02,85320,52380.0,40.12,83450,53530.0,39.22,81570,49340.0,37.88,78790,49170.0,37.91,78850,48160.0,37.84,78700,47330.0,37.71,78440,,,,,,,,,
262,19-3091,Anthropologists and Archeologists,6720,32.12,66810,6020.0,31.4,65310,6120.0,31.89,66330,6470.0,31.94,66440,6980.0,30.91,64290,7040.0,29.8,61980,6560.0,29.53,61420,6060.0,28.95,60230,5370.0,28.39,59040,5100.0,27.9,58040,,,
263,19-3092,Geographers,1400,39.41,81970,1390.0,38.72,80530,1400.0,36.92,76790,1370.0,35.62,74090,1280.0,36.02,74920,1260.0,36.35,75610,1480.0,36.09,75070,1510.0,35.59,74020,1430.0,35.66,74170,1300.0,35.05,72890,1170.0,         34.33,         71420
264,19-3093,Historians,3040,33.02,68690,3040.0,31.91,66380,3060.0,30.88,64220,2950.0,29.32,60990,3010.0,29.38,61120,3220.0,29.41,61180,3200.0,28.85,60010,3340.0,28,58240,3190.0,27.7,57610,3320.0,27.81,57840,3620.0,         27.09,         56350
265,19-3094,Political Scientists,6010,57.82,120260,5660.0,55.43,115300,6320.0,53.86,112030,6350.0,53.97,112250,3910.0,49.62,103210,5640.0,50,104000,5570.0,48.51,100900,5750.0,50.29,104600,5340.0,50.5,105040,4470.0,51.89,107930,,,
266,19-3099,"Social Scientists and Related Workers, All Other",33690,42.16,87690,35530.0,41.22,85750,35490.0,40.01,83230,36380.0,38.87,80860,34160.0,38.78,80650,32010.0,38.48,80040,31360.0,38.68,80450,30660.0,38.25,79560,31520.0,37.82,78670,28420.0,37.45,77890,,,
267,19-4000,"Life, Physical, and Social Science Technicians",358740,25.17,52340,365080.0,24.52,50990,359180.0,24.02,49970,358980.0,23.34,48550,359440.0,22.9,47640,351990.0,22.35,46480,343440.0,22,45770,334060.0,21.61,44950,,,,,,,,,
268,19-4010,Agricultural and Food Science Technicians,21870,21.37,44440,21290.0,21.24,44170,21120.0,20.63,42910,20420.0,19.46,40470,20260.0,18.75,39000,20640.0,17.95,37330,19390.0,17.79,37010,18280.0,17.49,36390,,,,,,,,,
269,19-4010,Agricultural and Food Science Technicians,21870,21.37,44440,21290.0,21.24,44170,21120.0,20.63,42910,20420.0,19.46,40470,20260.0,18.75,39000,20640.0,17.95,37330,19390.0,17.79,37010,18280.0,17.49,36390,,,,,,,,,
270,19-4020,Biological Technicians,79530,23.61,49110,77450.0,23.1,48060,74980.0,22.79,47410,74720.0,22.18,46130,72900.0,21.75,45230,72640.0,21.45,44610,71590.0,21.02,43710,72740.0,20.48,42600,,,,,,,,,
271,19-4021,Biological Technicians,79530,23.61,49110,77450.0,23.1,48060,74980.0,22.79,47410,74720.0,22.18,46130,72900.0,21.75,45230,72640.0,21.45,44610,71590.0,21.02,43710,72740.0,20.48,42600,72140.0,20.33,42290,72940.0,20.07,41740,,,
272,19-4030,Chemical Technicians,65760,25.44,52910,65500.0,24.84,51670,64550.0,24.52,51010,65510.0,23.93,49770,64770.0,23.43,48730,63760.0,22.78,47390,63880.0,22.4,46590,61300.0,22.18,46130,,,,,,,,,
273,19-4031,Chemical Technicians,65760,25.44,52910,65500.0,24.84,51670,64550.0,24.52,51010,65510.0,23.93,49770,64770.0,23.43,48730,63760.0,22.78,47390,63880.0,22.4,46590,61300.0,22.18,46130,59650.0,21.42,44560,59440.0,21.25,44200,,,
274,19-4040,Environmental Science and Geoscience Technicians,49730,26.07,54220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,19-4042,"Environmental Science and Protection Technicians, Including Health",32620,24.41,50760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,19-4045,Geological and Hydrologic Technicians,17110,29.23,60800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,19-4050,Nuclear Technicians,6420,39.77,82710,7230.0,38.45,79970,6850.0,38.46,80000,6840.0,37.41,77820,6500.0,37.91,78850,6380.0,36.52,75960,6930.0,35.31,73450,8040.0,33.52,69720,,,,,,,,,
278,19-4051,Nuclear Technicians,6420,39.77,82710,7230.0,38.45,79970,6850.0,38.46,80000,6840.0,37.41,77820,6500.0,37.91,78850,6380.0,36.52,75960,6930.0,35.31,73450,8040.0,33.52,69720,7370.0,32.46,67520,6960.0,32.37,67330,,,
279,19-4060,Social Science Research Assistants,35580,24.68,51340,34550.0,24.24,50420,31500.0,23.57,49030,30030.0,22.51,46820,28060.0,22,45760,27780.0,20.71,43070,26830.0,19.92,41430,26370.0,19.6,40760,,,,,,,,,
280,19-4061,Social Science Research Assistants,35580,24.68,51340,34550.0,24.24,50420,31500.0,23.57,49030,30030.0,22.51,46820,28060.0,22,45760,27780.0,20.71,43070,26830.0,19.92,41430,26370.0,19.6,40760,26200.0,20.39,42410,25830.0,19.28,40090,,,
281,19-4070,Forest and Conservation Technicians,19060,22.05,45860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,19-4071,Forest and Conservation Technicians,19060,22.05,45860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,19-4090,"Miscellaneous Life, Physical, and Social Science Technicians",80780,26.74,55610,144010.0,24.38,50720,145360.0,23.69,49270,146370.0,23.05,47940,150140.0,22.62,47040,144780.0,22.28,46350,139630.0,21.97,45710,131970.0,21.39,44480,,,,,,,,,
284,19-4092,Forensic Science Technicians,16520,30.37,63170,15970.0,30.05,62490,15070.0,29.43,61220,14800.0,29.18,60690,14070.0,28.89,60090,13570.0,28.18,58610,13430.0,27.57,57340,12440.0,26.79,55730,12560.0,26.76,55660,12390.0,26.46,55040,,,
285,19-4099,"Life, Physical, and Social Science Technicians, All Other",64260,25.8,53670,65220.0,25.45,52940,66890.0,24.6,51160,68540.0,23.69,49270,72020.0,23.25,48360,67140.0,23.01,47860,61950.0,22.67,47150,56920.0,22.18,46130,58890.0,22,45770,55360.0,22.1,45980,,,
286,19-5000,Occupational Health and Safety Specialists and Technicians,113360,34.95,72690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,19-5010,Occupational Health and Safety Specialists and Technicians,113360,34.95,72690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,19-5011,Occupational Health and Safety Specialists,92780,36.68,76290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,19-5012,Occupational Health and Safety Technicians,20580,27.15,56470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,21-0000,Community and Social Service Occupations,2244310,24.27,50480,2171820.0,23.69,49280,2096740.0,23.1,48050,2019250.0,22.69,47200,1972140.0,22.19,46160,1930750.0,21.79,45310,1901730.0,21.5,44710,1882080.0,21.27,44240,1890410.0,21.07,43830,1901180.0,20.76,43180,,,
291,21-1000,"Counselors, Social Workers, and Other Community and Social Service Specialists",2159870,24.23,50410,2090700.0,23.69,49270,2017250.0,23.11,48060,1941090.0,22.7,47220,1895770.0,22.2,46170,1857280.0,21.78,45310,1830190.0,21.49,44690,1811660.0,21.26,44220,,,,,,,,,
292,21-1010,Counselors,773500,25.54,53120,735100.0,24.96,51920,687150.0,24.36,50670,659890.0,23.91,49740,628820.0,23.46,48790,613750.0,23.09,48030,601300.0,22.99,47820,598250.0,22.84,47510,,,,,,,,,
293,21-1012,"Educational, Guidance, and Career Counselors and Advisors",296460,29.33,61000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
294,21-1013,Marriage and Family Therapists,59050,26.25,54590,48520.0,26.03,54150,42880.0,25.89,53860,36960.0,26,54090,32070.0,25.73,53520,30150.0,24.87,51730,29060.0,24.85,51690,34270.0,23.69,49270,33990.0,23.42,48710,33050.0,22.85,47530,,,
295,21-1015,Rehabilitation Counselors,109040,19.31,40160,106860.0,19.2,39930,103840.0,18.73,38950,103030.0,18.62,38740,101630.0,18.29,38040,103890.0,18.22,37890,103840.0,18.1,37660,104070.0,17.95,37330,110690.0,17.82,37070,111490.0,17.24,35850,,,
296,21-1018,"Substance Abuse, Behavioral Disorder, and Mental Health Counselors",283540,24.01,49950,267730.0,23.04,47920,241930.0,22.38,46560,,,,,,,,,,,,,,,,,,,,,,,,
297,21-1019,"Counselors, All Other",25420,23.46,48800,26530.0,22.95,47740,27150.0,22.89,47600,28380.0,22.9,47640,26370.0,23.05,47950,28240.0,22.71,47240,27830.0,22.28,46330,27220.0,22.15,46060,27140.0,21.56,44850,28140.0,21.33,44380,,,
298,21-1020,Social Workers,678780,26.05,54190,662550.0,25.51,53060,644290.0,24.82,51630,631730.0,24.38,50710,619300.0,23.88,49670,603300.0,23.63,49150,591240.0,23.25,48370,582270.0,22.78,47370,,,,,,,,,
299,21-1021,"Child, Family, and School Social Workers",327710,24.53,51030,320170.0,23.92,49760,306370.0,23.28,48430,298840.0,22.84,47510,294080.0,22.41,46610,286520.0,22.2,46180,276760.0,22.14,46060,273920.0,21.78,45300,276510.0,21.35,44410,276100.0,21.08,43850,,,
300,21-1022,Healthcare Social Workers,174890,28.51,59300,168190.0,28.11,58470,167730.0,27.31,56810,159310.0,26.69,55510,155590.0,25.97,54020,145920.0,25.77,53590,141830.0,25.25,52520,140000.0,24.74,51460,133890.0,24.28,50500,143080.0,23.65,49200,,,
301,21-1023,Mental Health and Substance Abuse Social Workers,117770,24.84,51670,116750.0,23.86,49630,112040.0,22.99,47830,114040.0,23.02,47880,110070.0,22.69,47190,109460.0,22.03,45820,110010.0,21.36,44420,109920.0,20.84,43340,115390.0,20.5,42650,119960.0,20.13,41880,,,
302,21-1029,"Social Workers, All Other",58410,29.69,61750,57440.0,30.12,62660,58150.0,29.28,60900,59540.0,28.56,59410,59570.0,27.87,57970,61410.0,28.08,58410,62640.0,26.95,56060,58430.0,26.38,54870,63110.0,26.07,54220,69920.0,25.13,52270,,,
303,21-1090,Miscellaneous Community and Social Service Specialists,707590,21.06,43810,693040.0,20.59,42820,685810.0,20.23,42090,649470.0,19.84,41270,647650.0,19.36,40270,640230.0,18.78,39070,637660.0,18.44,38350,631150.0,18.37,38200,,,,,,,,,
304,21-1091,Health Education Specialists,58590,29.09,60500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,21-1092,Probation Officers and Correctional Treatment Specialists,88120,28.8,59910,87660.0,28.27,58790,87700.0,27.23,56630,87500.0,26.63,55380,87950.0,26,54080,86810.0,25.65,53360,86810.0,25.44,52910,86780.0,25.18,52380,88520.0,25.05,52110,89900.0,24.64,51240,,,
306,21-1093,Social and Human Service Assistants,404450,17.81,37050,392300.0,17.22,35830,384080.0,17.05,35460,360650.0,16.41,34120,359350.0,15.96,33190,354800.0,15.32,31860,355500.0,15.04,31280,351400.0,14.85,30880,359860.0,14.77,30710,357500.0,14.47,30100,,,
307,21-1094,Community Health Workers,58950,21.34,44390,56130.0,20.9,43480,54760.0,20.36,42340,51900.0,19.8,41170,48130.0,19.3,40150,47880.0,18.35,38180,45800.0,18.1,37640,38020.0,18.02,37490,,,,,,,,,
308,21-1099,"Community and Social Service Specialists, All Other",97480,22.55,46900,98170.0,22.14,46050,101230.0,21.53,44780,91860.0,21.89,45540,94670.0,21.33,44370,93710.0,21.03,43740,92830.0,20.52,42690,99680.0,20.99,43660,,,,,,,,,
309,21-2000,Religious Workers,84440,25.12,52260,81120.0,23.94,49790,79490.0,23.02,47880,78160.0,22.42,46630,76370.0,22.12,46020,73470.0,21.88,45510,71540.0,21.7,45130,70410.0,21.41,44540,,,,,,,,,
310,21-2010,Clergy,53180,26.53,55190,50960.0,25.62,53290,49850.0,24.43,50800,49320.0,23.77,49450,48250.0,23.15,48150,46510.0,22.95,47730,45020.0,22.86,47540,44000.0,23.02,47880,,,,,,,,,
311,21-2011,Clergy,53180,26.53,55190,50960.0,25.62,53290,49850.0,24.43,50800,49320.0,23.77,49450,48250.0,23.15,48150,46510.0,22.95,47730,45020.0,22.86,47540,44000.0,23.02,47880,42560.0,23.31,48490,42820.0,23.22,48290,42670.0,         22.58,         46960
312,21-2020,"Directors, Religious Activities and Education",21820,24.28,50490,21700.0,22.59,46980,21430.0,21.86,45470,20590.0,21.56,44840,20280.0,21.71,45160,18850.0,21.48,44680,18600.0,21.27,44240,18310.0,20.5,42640,,,,,,,,,
313,21-2021,"Directors, Religious Activities and Education",21820,24.28,50490,21700.0,22.59,46980,21430.0,21.86,45470,20590.0,21.56,44840,20280.0,21.71,45160,18850.0,21.48,44680,18600.0,21.27,44240,18310.0,20.5,42640,17560.0,20.04,41690,16840.0,19.52,40600,,,
314,21-2090,Miscellaneous Religious Workers,9450,19.15,39830,8460.0,17.24,35860,8210.0,17.49,36380,8250.0,16.49,34300,7840.0,16.9,35160,8110.0,16.69,34700,7920.0,16.11,33520,8110.0,14.73,30650,,,,,,,,,
315,21-2099,"Religious Workers, All Other",9450,19.15,39830,8460.0,17.24,35860,8210.0,17.49,36380,8250.0,16.49,34300,7840.0,16.9,35160,8110.0,16.69,34700,7920.0,16.11,33520,8110.0,14.73,30650,7660.0,15.19,31600,7090.0,15.42,32070,,,
316,23-0000,Legal Occupations,1150780,52.71,109630,1127900.0,52.25,108690,1095770.0,51.62,107370,1075520.0,50.95,105980,1062370.0,49.74,103460,1052900.0,48.61,101110,1041700.0,47.89,99620,1023020.0,47.39,98570,1002330.0,47.3,98380,992650.0,46.6,96940,,,
317,23-1000,"Lawyers, Judges, and Related Workers",722940,67.87,141180,708140.0,67.23,139850,692660.0,66.18,137660,680990.0,65.27,135760,672580.0,63.64,132380,663910.0,62.21,129410,651840.0,61.57,128070,641020.0,60.99,126860,,,,,,,,,
318,23-1010,Lawyers and Judicial Law Clerks,673800,68.84,143200,659090.0,68.33,142130,643630.0,67.26,139900,632940.0,66.44,138190,622590.0,64.76,134710,614970.0,63.45,131970,603560.0,62.78,130580,593120.0,62.21,129410,,,,,,,,,
319,23-1011,Lawyers,657170,69.86,145300,642750.0,69.34,144230,628370.0,68.22,141890,619530.0,67.25,139880,609930.0,65.51,136260,603310.0,64.17,133470,592670.0,63.46,131990,581920.0,62.93,130880,570950.0,62.74,130490,561350.0,62.23,129440,556790.0,         62.03,        129020
320,23-1012,Judicial Law Clerks,16630,28.79,59890,16350.0,28.63,59540,15260.0,27.84,57920,13410.0,28.77,59840,12660.0,28.81,59910,11660.0,26.13,54350,10890.0,25.91,53890,11200.0,25.29,52610,18300.0,22.44,46670,25150.0,21.18,44060,,,
321,23-1020,"Judges, Magistrates, and Other Judicial Workers",49140,54.55,113470,49040.0,52.49,109170,49030.0,52.09,108340,48050.0,49.88,103740,49990.0,49.71,103390,48940.0,46.74,97230,48280.0,46.48,96690,47900.0,45.83,95340,,,,,,,,,
322,23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",14380,48.19,100230,14280.0,48.66,101210,14480.0,47.25,98280,14540.0,45.79,95240,14590.0,44.78,93140,14140.0,44,91530,14270.0,43.09,89630,14150.0,43.26,89970,14460.0,42.47,88340,14310.0,43.14,89740,,,
323,23-1022,"Arbitrators, Mediators, and Conciliators",6090,35.44,73720,6240.0,34.98,72760,6110.0,35.11,73020,6300.0,34.97,72730,6380.0,33.2,69060,6710.0,34.01,70740,6830.0,36.94,76840,6520.0,37.12,77200,6880.0,36.32,75550,6920.0,31.95,66460,,,
324,23-1023,"Judges, Magistrate Judges, and Magistrates",28670,61.8,128550,28520.0,58.23,121130,28440.0,58.2,121050,27210.0,55.51,115460,29020.0,55.82,116100,28090.0,51.16,106420,27190.0,50.66,105380,27220.0,49.26,102470,26570.0,53.34,110940,25900.0,50.67,105390,,,
325,23-2000,Legal Support Workers,427840,27.08,56320,419770.0,26.98,56130,403110.0,26.6,55330,394530.0,26.25,54590,389790.0,25.75,53550,388990.0,25.4,52830,389860.0,25.02,52040,382000.0,24.57,51100,,,,,,,,,
326,23-2010,Paralegals and Legal Assistants,329870,26.45,55020,309940.0,26.2,54500,290410.0,25.92,53910,277310.0,25.57,53180,271930.0,25.19,52390,272580.0,24.92,51840,271320.0,24.6,51170,267030.0,24.15,50220,,,,,,,,,
327,23-2011,Paralegals and Legal Assistants,329870,26.45,55020,309940.0,26.2,54500,290410.0,25.92,53910,277310.0,25.57,53180,271930.0,25.19,52390,272580.0,24.92,51840,271320.0,24.6,51170,267030.0,24.15,50220,,,,,,,,,
328,23-2090,Miscellaneous Legal Support Workers,97970,29.18,60690,109820.0,29.19,60710,112700.0,28.36,59000,117220.0,27.86,57940,117850.0,27.04,56250,116410.0,26.51,55140,118540.0,25.97,54020,114970.0,25.55,53150,,,,,,,,,
329,23-2093,"Title Examiners, Abstractors, and Searchers",52890,25.02,52050,52180.0,24.7,51380,53040.0,24.61,51180,54560.0,24.75,51490,54620.0,23.96,49840,52960.0,23.17,48190,53640.0,22.76,47340,49390.0,22.26,46310,49760.0,21.56,44850,50490.0,20.85,43370,,,
330,23-2099,"Legal Support Workers, All Other",45080,34.06,70840,43150.0,34.34,71420,44440.0,32.67,67960,44960.0,31.81,66170,45570.0,31.02,64530,45120.0,30.45,63340,45700.0,29.6,61560,47000.0,29.03,60390,44720.0,28.88,60070,42160.0,28.51,59310,,,
331,25-0000,Educational Instruction and Library Occupations,8886600,27.75,57710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,25-1000,Postsecondary Teachers,1407110,*,90830,1517100.0,*,85190,1525170.0,*,82880,1530010.0,*,81880,1531350.0,*,77480,1522210.0,*,75780,1511280.0,*,74620,1496810.0,*,73770,,,,,,,,,
333,25-1010,"Business Teachers, Postsecondary",83920,*,105440,84230.0,*,103330,84340.0,*,100270,83030.0,*,96770,84890.0,*,92220,85030.0,*,88740,85220.0,*,89100,82460.0,*,85730,,,,,,,,,
334,25-1011,"Business Teachers, Postsecondary",83920,*,105440,84230.0,*,103330,84340.0,*,100270,83030.0,*,96770,84890.0,*,92220,85030.0,*,88740,85220.0,*,89100,82460.0,*,85730,82090.0,*,86620,79070.0,*,85470,,,
335,25-1020,"Math and Computer Science Teachers, Postsecondary",82940,*,90970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,25-1021,"Computer Science Teachers, Postsecondary",31800,*,98430,32430.0,*,96200,32230.0,*,91590,32540.0,*,89670,33760.0,*,84700,35410.0,*,80730,35770.0,*,80990,34350.0,*,79870,33510.0,*,80460,33080.0,*,78190,,,
337,25-1022,"Mathematical Science Teachers, Postsecondary",51150,*,86330,51250.0,*,87140,50870.0,*,84710,52020.0,*,82650,53850.0,*,77290,54010.0,*,74200,53970.0,*,74210,53530.0,*,73190,53650.0,*,74460,51980.0,*,73480,,,
338,25-1030,"Engineering and Architecture Teachers, Postsecondary",42860,*,110040,44420.0,*,111450,44780.0,*,106770,45370.0,*,105120,44610.0,*,101040,43840.0,*,99120,42210.0,*,98930,41260.0,*,96330,,,,,,,,,
339,25-1031,"Architecture Teachers, Postsecondary",6780,*,98980,6880.0,*,99320,7280.0,*,91000,7370.0,*,92890,7340.0,*,84880,7190.0,*,84470,7340.0,*,80180,7290.0,*,78770,7060.0,*,79600,7620.0,*,79300,,,
340,25-1032,"Engineering Teachers, Postsecondary",36080,*,112110,37530.0,*,113680,37500.0,*,109830,38000.0,*,107490,37270.0,*,104220,36650.0,*,102000,34870.0,*,102880,33970.0,*,100100,33660.0,*,97260,34400.0,*,96480,,,
341,25-1040,"Life Sciences Teachers, Postsecondary",64330,*,97110,64660.0,*,96110,62710.0,*,92790,62920.0,*,91440,62990.0,*,88240,64490.0,*,86760,62500.0,*,86860,63020.0,*,86350,,,,,,,,,
342,25-1041,"Agricultural Sciences Teachers, Postsecondary",9470,*,89320,10810.0,*,90890,10800.0,*,91690,10340.0,*,96630,9680.0,*,95280,9890.0,*,90100,10120.0,*,86710,10500.0,*,83990,10170.0,*,83480,10600.0,*,81760,,,
343,25-1042,"Biological Science Teachers, Postsecondary",53090,*,98700,51770.0,*,97340,49910.0,*,93010,50820.0,*,90420,51640.0,*,86830,52750.0,*,86200,50230.0,*,87080,50040.0,*,87060,50090.0,*,86060,54540.0,*,86570,,,
344,25-1043,"Forestry and Conservation Science Teachers, Postsecondary",1770,*,90940,2070.0,*,92550,2000.0,*,93200,1750.0,*,90480,1660.0,*,91030,1850.0,*,84810,2140.0,*,82620,2490.0,*,82020,2520.0,*,82640,2410.0,*,81120,,,
345,25-1050,"Physical Sciences Teachers, Postsecondary",52240,*,97090,52160.0,*,97280,51530.0,*,94740,51780.0,*,92900,52200.0,*,89840,51820.0,*,87070,50650.0,*,87330,50190.0,*,86130,,,,,,,,,
346,25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",11020,*,102690,11020.0,*,101890,10730.0,*,98560,10850.0,*,95900,10890.0,*,92540,10890.0,*,90340,10690.0,*,90830,10930.0,*,91930,10660.0,*,91350,10680.0,*,90660,,,
347,25-1052,"Chemistry Teachers, Postsecondary",21380,*,92650,21370.0,*,92360,21090.0,*,90610,21250.0,*,89320,21460.0,*,86070,21470.0,*,83360,20820.0,*,83330,20430.0,*,81460,20830.0,*,80450,21150.0,*,80070,,,
348,25-1053,"Environmental Science Teachers, Postsecondary",6060,*,93450,6040.0,*,91330,5990.0,*,87660,5520.0,*,88880,5540.0,*,88570,5300.0,*,86200,5130.0,*,87450,4990.0,*,86080,4990.0,*,84140,5090.0,*,78490,,,
349,25-1054,"Physics Teachers, Postsecondary",13780,*,101110,13730.0,*,103830,13710.0,*,101190,14160.0,*,97520,14310.0,*,93950,14160.0,*,90500,14010.0,*,90570,13840.0,*,88470,13630.0,*,86730,13500.0,*,86560,,,
350,25-1060,"Social Sciences Teachers, Postsecondary",117590,*,92920,117510.0,*,92440,115860.0,*,89600,114230.0,*,89150,116420.0,*,84180,116310.0,*,80670,119940.0,*,80500,115380.0,*,79290,,,,,,,,,
351,25-1061,"Anthropology and Archeology Teachers, Postsecondary",5850,*,95140,5890.0,*,94080,5770.0,*,93500,5700.0,*,91940,6000.0,*,85440,6100.0,*,81410,5920.0,*,83190,5690.0,*,82860,5790.0,*,81860,5850.0,*,80040,,,
352,25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",10600,*,88410,9850.0,*,85450,9850.0,*,83330,9060.0,*,84590,9240.0,*,81700,9150.0,*,78120,9700.0,*,77550,9710.0,*,77690,9250.0,*,79840,8980.0,*,76720,,,
353,25-1063,"Economics Teachers, Postsecondary",13270,*,119160,12750.0,*,117180,12770.0,*,114820,13060.0,*,111520,13580.0,*,106980,13710.0,*,102120,13600.0,*,100490,13390.0,*,97770,13300.0,*,94450,13020.0,*,92870,,,
354,25-1064,"Geography Teachers, Postsecondary",3970,*,86540,3960.0,*,88950,3980.0,*,87810,4140.0,*,84660,4350.0,*,79690,4440.0,*,74690,4400.0,*,73980,4460.0,*,71890,4280.0,*,72300,4250.0,*,71230,,,
355,25-1065,"Political Science Teachers, Postsecondary",15750,*,102290,15890.0,*,99480,16200.0,*,98620,16720.0,*,94090,17460.0,*,88680,17050.0,*,82670,17660.0,*,84110,16770.0,*,81860,17260.0,*,80980,15930.0,*,78620,,,
356,25-1066,"Psychology Teachers, Postsecondary",37480,*,87530,37630.0,*,88490,37090.0,*,85050,37640.0,*,84440,38380.0,*,79370,37930.0,*,76390,40380.0,*,76060,38060.0,*,74240,37540.0,*,74890,34350.0,*,74320,,,
357,25-1067,"Sociology Teachers, Postsecondary",13850,*,85240,13870.0,*,83310,13630.0,*,83840,14580.0,*,81600,16160.0,*,76750,16900.0,*,74860,17200.0,*,74470,16880.0,*,73080,17250.0,*,73320,17430.0,*,71830,,,
358,25-1069,"Social Sciences Teachers, Postsecondary, All Other",16830,*,85390,17670.0,*,87950,16580.0,*,79050,13320.0,*,85950,11250.0,*,79820,11030.0,*,78690,11080.0,*,79490,10430.0,*,82570,9230.0,*,82750,7410.0,*,85400,,,
359,25-1070,"Health Teachers, Postsecondary",261590,*,112850,255190.0,*,113370,250190.0,*,112770,242940.0,*,113770,236290.0,*,104470,224930.0,*,102260,220120.0,*,96760,208350.0,*,91810,,,,,,,,,
360,25-1071,"Health Specialties Teachers, Postsecondary",201920,*,121620,199480.0,*,122320,194610.0,*,122890,186740.0,*,125430,178900.0,*,114510,168090.0,*,112950,163850.0,*,105880,152130.0,*,100370,153430.0,*,99210,144780.0,*,103960,,,
